name,surname,email,password,dateOfBirth,dateJoined,jobTitle,department,isManager,managerEmail,status,sex,nationality,phoneNumber
Alison,Novak,alison.novak@fripl.com,123456789,1982-03-21,2021-04-04,Operations Manager,Operations,Yes,kenneth.khan@fripl.com,active,female,Azerbaijan,001-615-739-6038x930
Colleen,Mcbride,colleen.mcbride@fripl.com,123456789,1993-08-26,2021-04-15,Finance Analyst,Finance,No,kristina.brandt@fripl.com,active,male,Bouvet Island (Bouvetoya),(733)446-2556x6163
Patrick,Russell,patrick.russell@fripl.com,123456789,1967-04-02,2021-06-22,Paralegal,Legal,No,melinda.brown@fripl.com,active,male,Romania,001-541-900-8567
Michelle,Wilkins,michelle.wilkins@fripl.com,123456789,1969-03-05,2023-08-22,Account Executive,Sales,No,matthew.snyder@fripl.com,active,male,Falkland Islands (Malvinas),2025174103
Mary,Monroe,mary.monroe@fripl.com,123456789,1979-11-15,2022-07-08,Legal Assistant,Legal,No,melinda.brown@fripl.com,active,female,Ethiopia,650-727-7073
Matthew,Jenkins,matthew.jenkins@fripl.com,123456789,1971-07-18,2024-12-02,Marketing Coordinator,Marketing,No,adam.ware@fripl.com,active,male,Macedonia,001-528-150-9834x20596
Mitchell,Maldonado,mitchell.maldonado@fripl.com,123456789,1990-12-11,2025-03-24,HR Coordinator,Human Ressources,No,anthony.frost@fripl.com,active,male,Germany,001-707-752-3426
Justin,Curry,justin.curry@fripl.com,123456789,1970-05-27,2023-05-10,Corporate Counsel,Legal,No,melinda.brown@fripl.com,active,female,Madagascar,125.722.6131x70400
Laura,Smith,laura.smith@fripl.com,123456789,1989-07-29,2022-08-05,HR Manager,Human Ressources,Yes,anthony.frost@fripl.com,active,male,Djibouti,+1-865-605-8692x453
Aimee,French,aimee.french@fripl.com,123456789,1980-04-06,2023-10-01,Sales Manager,Sales,Yes,matthew.snyder@fripl.com,active,female,Heard Island and McDonald Islands,772-794-6958x76972
Henry,Wallace,henry.wallace@fripl.com,123456789,1987-10-03,2024-07-01,Paralegal,Legal,No,melinda.brown@fripl.com,active,female,Senegal,+1-838-190-7180
Brian,Leon,brian.leon@fripl.com,123456789,1983-06-27,2021-02-07,Finance Manager,Finance,Yes,kristina.brandt@fripl.com,active,female,Philippines,001-686-861-3569
Joshua,Perry,joshua.perry@fripl.com,123456789,1995-02-03,2021-01-17,Operations Manager,Operations,Yes,kenneth.khan@fripl.com,active,female,United States Minor Outlying Islands,001-509-482-6674x0582
Dan,Boyle,dan.boyle@fripl.com,123456789,1966-09-29,2021-03-24,Marketing Coordinator,Marketing,No,adam.ware@fripl.com,active,female,Chile,879-595-5157x046
Jason,Hancock,jason.hancock@fripl.com,123456789,1992-01-20,2022-08-13,HR Specialist,Human Ressources,No,anthony.frost@fripl.com,active,female,Central African Republic,874-532-0253x741
William,Stone,william.stone@fripl.com,123456789,1972-08-29,2023-05-03,Logistics Manager,Operations,Yes,kenneth.khan@fripl.com,active,male,Rwanda,001-576-362-0764
Shawn,Thompson,shawn.thompson@fripl.com,123456789,2000-08-15,2023-01-30,Legal Assistant,Legal,No,melinda.brown@fripl.com,active,female,Israel,069.253.4630
Michael,Wallace,michael.wallace@fripl.com,123456789,1995-07-16,2023-01-11,Sales Associate,Sales,No,matthew.snyder@fripl.com,active,male,United Kingdom,194-497-7555x3542
Susan,Pineda,susan.pineda@fripl.com,123456789,2003-01-28,2022-03-22,HR Manager,Human Ressources,Yes,anthony.frost@fripl.com,active,male,Malta,(220)427-3005x144
David,Hawkins,david.hawkins@fripl.com,123456789,1995-02-07,2021-11-18,Accountant,Finance,No,kristina.brandt@fripl.com,active,female,Puerto Rico,(303)997-0050x11377
Donna,Morton,donna.morton@fripl.com,123456789,1989-02-20,2023-12-24,Finance Analyst,Finance,No,kristina.brandt@fripl.com,active,female,Heard Island and McDonald Islands,240-766-4326x0962
Lauren,Davis,lauren.davis@fripl.com,123456789,1988-04-03,2021-07-03,Content Strategist,Marketing,No,adam.ware@fripl.com,active,male,Mayotte,805.576.2968x193
Kathryn,Thomas,kathryn.thomas@fripl.com,123456789,2002-01-06,2023-06-20,Sales Manager,Sales,Yes,matthew.snyder@fripl.com,active,female,Venezuela,6981104281
Martin,Price,martin.price@fripl.com,123456789,1969-10-06,2024-07-04,Operations Associate,Operations,No,kenneth.khan@fripl.com,active,female,Armenia,+1-666-906-5030x409
Ronnie,Clayton,ronnie.clayton@fripl.com,123456789,1993-02-05,2022-06-08,Operations Manager,Operations,Yes,kenneth.khan@fripl.com,active,female,Switzerland,001-884-539-4238
Mrs.,Theresa,mrs..theresa@fripl.com,123456789,1996-08-27,2021-09-13,Logistics Manager,Operations,Yes,kenneth.khan@fripl.com,active,male,Mauritania,768-746-9750x0854
Steven,Jones,steven.jones@fripl.com,123456789,1975-01-24,2021-05-05,Sales Manager,Sales,Yes,matthew.snyder@fripl.com,active,male,Guam,576.402.6211
Chelsea,Holmes,chelsea.holmes@fripl.com,123456789,1976-08-04,2024-07-24,Sales Associate,Sales,No,matthew.snyder@fripl.com,active,male,Austria,990-168-4511x48008
Edwin,Washington,edwin.washington@fripl.com,123456789,1973-07-28,2022-12-24,Finance Analyst,Finance,No,kristina.brandt@fripl.com,active,female,Guinea,+1-844-453-4760
Joseph,Wright,joseph.wright@fripl.com,123456789,1986-05-22,2024-10-30,HR Specialist,Human Ressources,No,anthony.frost@fripl.com,active,female,Oman,001-174-608-8251x73164
Christina,Brown,christina.brown@fripl.com,123456789,1977-04-14,2020-06-30,Legal Assistant,Legal,No,melinda.brown@fripl.com,active,female,Equatorial Guinea,611-162-2780x84603
Courtney,Miller,courtney.miller@fripl.com,123456789,1967-07-03,2023-02-23,Legal Assistant,Legal,No,melinda.brown@fripl.com,active,female,Guam,646.527.7322x516
Mary,Gomez,mary.gomez@fripl.com,123456789,1984-09-26,2024-02-12,Marketing Manager,Marketing,Yes,adam.ware@fripl.com,active,male,Faroe Islands,+1-050-720-8482x94151
Kenneth,Sosa,kenneth.sosa@fripl.com,123456789,1979-06-29,2023-11-02,HR Coordinator,Human Ressources,No,anthony.frost@fripl.com,active,female,Nigeria,(791)333-4832
Sarah,Sosa,sarah.sosa@fripl.com,123456789,1981-12-24,2024-10-30,HR Specialist,Human Ressources,No,anthony.frost@fripl.com,active,female,Dominica,4775899728
April,Wright,april.wright@fripl.com,123456789,1995-07-09,2024-04-11,Software Engineer,Information technology,No,ann.thompson@fripl.com,active,female,Zimbabwe,001-617-657-3132x33712
